mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,7,0.01358796562999487,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,8,0.013563874177634716,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,9,0.01331707276403904,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,10,0.014296213164925575,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,11,0.014117096550762653,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,0,0.011006990447640419,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,1,0.011963815428316593,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,2,0.014141716994345188,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,3,0.015046810731291771,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,4,0.012074763886630535,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,5,0.012097406201064587,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,6,0.012811709195375443,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,7,0.010831104591488838,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,8,0.012191854417324066,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,9,0.012860605493187904,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,10,0.009448242373764515,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,1,11,0.012701481580734253,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,0,0.014652261510491371,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,1,0.011273417621850967,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,2,0.010911190882325172,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,3,0.009667275473475456,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,4,0.011319534853100777,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,5,0.009951066225767136,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,6,0.010956857353448868,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,7,0.012169215828180313,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,8,0.012312606908380985,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,9,0.016079168766736984,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,10,0.01247047632932663,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,2,11,0.012650473043322563,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,0,0.012029979377985,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,1,0.014549505896866322,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,2,0.01159779354929924,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,3,0.011235863901674747,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,4,0.012826476246118546,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,5,0.016835883259773254,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,6,0.011236620135605335,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,7,0.012589549645781517,0.0,9411.7802734375
